---- Flight Log 29 -aBo ----
0:-0.56,-1.02,0.00,0.02,0.01,-0.06,431.01,0.00,26.63,3.9,2,0.00,0.00,0.00,0.00
50:-0.56,-1.02,0.00,0.02,-0.01,0.00,431.04,0.00,26.63,3.8,2,0.00,0.00,0.00,0.00
101:-0.56,-1.02,0.00,0.02,-0.01,0.00,431.02,0.00,26.63,3.9,2,0.00,0.00,0.00,0.00
151:-0.56,-1.02,0.00,0.02,0.01,0.00,431.06,0.00,26.63,3.9,2,0.00,0.00,0.00,0.00
201:-0.56,-1.02,0.00,0.05,0.01,0.00,430.99,0.00,26.63,3.9,2,0.00,0.00,0.00,0.00
252:-0.56,-1.02,0.00,0.02,0.01,0.00,430.98,0.00,26.63,3.9,2,0.00,0.00,0.00,0.00
302:-0.56,-1.02,0.00,-0.01,-0.01,0.00,430.99,0.00,26.62,3.8,2,0.00,0.00,0.00,0.00
353:-0.56,-1.02,0.00,-0.01,-0.01,0.00,431.02,0.00,26.63,3.9,2,0.00,0.00,0.00,0.00
403:-0.56,-1.02,0.00,0.02,-0.03,0.06,431.28,0.00,26.62,3.8,2,0.00,0.00,0.00,0.00
454:-0.55,-1.02,0.00,0.02,-0.01,-0.06,431.24,0.00,26.62,3.9,2,0.00,0.00,0.00,0.00
504:-0.55,-1.02,0.00,-0.06,-0.05,-0.12,431.19,0.00,26.62,3.9,2,0.00,0.00,0.00,0.00
555:-0.55,-1.01,0.00,-0.01,0.19,-0.18,431.23,0.00,26.62,3.9,2,0.00,0.00,0.00,0.00
605:-0.56,-1.01,0.00,-0.45,0.05,0.43,431.11,0.00,26.62,3.9,2,0.00,0.00,0.00,0.00
655:-0.55,-1.02,0.00,-0.24,-0.13,0.92,431.22,0.00,26.62,3.9,2,0.00,0.00,0.00,0.00
706:-0.55,-1.01,0.00,0.81,0.05,-1.04,431.23,0.00,26.62,3.8,2,0.00,0.00,0.00,0.00
756:-0.55,-1.02,-0.00,-0.08,-0.13,2.08,431.18,0.00,26.62,3.9,2,0.00,0.00,0.00,0.00
807:-0.53,-1.01,-0.00,1.18,0.18,0.73,431.24,0.00,26.62,3.9,2,0.00,0.00,0.00,0.00
857:-0.50,-1.01,0.00,-1.08,-0.13,0.00,431.26,0.00,26.62,3.9,2,0.00,0.00,0.00,0.00
908:-0.47,-1.01,0.00,3.30,-0.14,1.34,431.28,0.00,26.61,3.9,2,0.00,0.00,0.00,0.00
958:-0.44,-1.01,-0.00,0.02,-0.36,1.47,431.28,0.00,26.61,3.8,2,0.00,0.00,0.00,0.00
1009:-0.40,-1.01,-0.00,0.79,-0.19,-0.73,431.17,0.00,26.61,3.9,2,0.00,0.00,0.00,0.00
1059:-0.35,-1.01,-0.00,2.84,-0.55,2.69,431.16,0.00,26.60,3.9,2,0.00,0.00,0.00,0.00
1110:-0.31,-1.01,0.00,4.23,-0.37,-0.98,431.21,0.00,26.60,3.9,2,0.00,0.00,0.00,0.00
1160:-0.27,-1.01,0.00,2.60,-0.07,-1.28,431.26,0.00,26.58,3.8,2,0.00,0.00,0.00,0.00
1211:-0.25,-1.01,-0.00,-3.28,0.41,-2.68,431.13,0.00,26.58,3.9,2,0.00,0.00,0.00,0.00
1261:-0.21,-1.01,-0.00,-2.22,0.39,-0.61,431.08,0.00,26.57,3.9,2,0.00,0.00,0.00,0.00
1312:-0.16,-1.00,0.01,-1.22,1.12,0.49,431.15,0.00,26.57,3.9,2,0.00,0.00,0.00,0.00
1362:-0.14,-1.01,0.02,-2.70,-0.19,0.79,431.29,0.00,26.56,3.9,2,0.00,0.00,0.00,0.00
1413:-0.10,-1.00,0.03,-3.09,-0.23,1.22,431.26,0.00,26.55,3.9,2,0.00,0.00,0.00,0.00
1463:-0.05,-1.00,0.07,0.91,0.01,1.71,431.20,0.00,26.55,3.9,2,0.00,0.00,0.00,0.00
1514:0.01,-1.01,0.09,1.95,-0.53,1.47,431.22,0.00,26.54,3.9,2,0.00,0.00,0.00,0.00
1564:0.03,-1.01,0.09,-0.51,0.23,0.31,431.24,0.00,26.53,3.9,2,0.00,0.00,0.00,0.00
1615:0.05,-1.00,0.10,-3.39,1.42,-1.95,431.25,0.00,26.52,3.9,2,0.00,0.00,0.00,0.00
1665:0.08,-1.01,0.10,1.86,-0.56,-0.73,431.19,0.00,26.51,3.8,2,0.00,0.00,0.00,0.00
1716:0.12,-1.01,0.09,2.03,-0.07,1.28,431.21,0.00,26.51,3.9,2,0.00,0.00,0.00,0.00
1766:0.13,-1.01,0.09,-2.82,0.54,-2.38,431.13,0.00,26.50,3.9,2,0.00,0.00,0.00,0.00
1817:0.18,-1.02,0.10,7.80,-0.04,0.55,431.13,0.00,26.49,3.9,2,0.00,0.00,0.00,0.00
1867:0.18,-1.02,0.09,-4.32,-0.35,-0.18,431.17,0.00,26.48,3.9,2,0.00,0.00,0.00,0.00
1918:0.22,-1.02,0.10,-1.73,0.53,-0.43,431.10,0.00,26.48,3.9,8,0.00,0.00,0.00,0.00
1968:0.23,-1.02,0.10,1.33,0.78,-0.43,431.36,0.00,26.47,3.9,23,0.00,0.00,0.00,0.00
2019:0.24,-1.00,0.10,-6.48,-3.55,1.89,431.49,0.00,26.46,3.8,24,0.00,0.00,0.00,0.00
2069:0.24,-0.97,0.10,3.50,0.15,1.71,431.52,0.00,26.46,3.8,14,0.00,0.00,0.00,0.00
2120:0.22,-0.94,0.04,-0.80,-6.86,2.81,431.44,0.00,26.46,4.0,2,0.00,0.00,0.00,0.00
2170:0.24,-0.92,-0.02,-1.46,-0.17,2.02,431.26,0.00,26.45,3.9,2,0.00,0.00,0.00,0.00
2221:0.24,-0.88,-0.03,-0.50,-0.08,-1.16,431.22,0.00,26.44,3.9,2,0.00,0.00,0.00,0.00
2271:0.25,-0.86,-0.01,1.80,-0.58,1.71,431.12,0.00,26.44,3.8,2,0.00,0.00,0.00,0.00
2322:0.22,-0.85,0.00,-0.70,-2.78,0.18,431.06,0.00,26.43,3.9,2,0.00,0.00,0.00,0.00
2372:0.20,-0.83,0.01,-1.73,2.71,-0.49,431.16,0.00,26.42,3.9,2,0.00,0.00,0.00,0.00
2422:0.19,-0.83,0.03,-0.61,5.35,1.59,431.22,0.00,26.42,3.9,20,0.00,0.00,0.00,0.00
2473:0.20,-0.79,0.02,1.59,-0.72,-0.37,431.27,0.00,26.41,3.9,27,0.00,0.00,0.00,0.00
2588:-0.15,-0.45,0.30,-33.48,-6.39,1.16,431.57,0.00,26.39,4.0,9,0.00,0.00,0.00,0.00
2639:0.28,-0.72,0.75,-18.90,54.04,13.18,431.47,0.00,26.39,3.8,7,0.00,0.00,0.00,0.00
2690:0.25,-0.70,1.16,14.00,-8.15,5.74,431.41,0.00,26.38,3.9,6,0.00,0.00,0.00,0.00
2740:0.22,-0.67,1.45,4.40,8.26,-0.91,431.42,0.00,26.37,3.9,6,0.00,0.00,0.00,0.00
2791:0.23,-0.66,1.65,10.80,18.41,6.47,431.52,0.00,26.36,3.8,6,0.00,0.00,0.00,0.00
2841:0.09,-0.60,2.16,3.93,2.62,1.40,431.32,0.00,26.35,3.8,7,0.00,0.00,0.00,0.00
2892:-0.11,-0.53,2.36,-22.93,7.60,6.04,431.27,0.00,26.34,3.8,7,0.00,0.00,0.00,0.00
2942:0.03,-0.64,2.38,13.45,17.34,-2.50,431.24,0.00,26.33,3.9,7,0.00,0.00,0.00,0.00
2993:0.18,-0.78,2.27,-27.21,4.95,5.13,431.19,0.00,26.33,3.8,7,0.00,0.00,0.00,0.00
3043:-0.01,-0.73,2.73,3.08,-13.27,22.95,431.19,0.00,26.33,3.8,7,0.00,0.00,0.00,0.00
3094:-0.12,-0.54,3.41,5.48,46.16,6.90,431.16,0.00,26.32,3.8,8,0.00,0.00,0.00,0.00
3144:-0.09,-0.57,3.87,-26.09,6.95,11.11,431.07,0.00,26.32,3.7,36,0.00,0.00,0.00,0.00
3195:-0.13,-0.57,4.48,11.43,-3.78,12.76,431.04,0.00,26.32,3.6,52,0.00,0.00,0.00,0.00
3246:0.20,-0.20,4.97,2.94,5.19,10.74,431.18,0.00,26.31,3.8,52,0.00,0.00,0.00,0.00
3296:0.74,0.19,5.46,8.85,-0.60,5.01,431.32,0.00,26.31,3.6,52,0.00,0.00,0.00,0.00
3347:0.52,0.25,5.88,-10.13,-2.02,9.95,431.53,0.00,26.31,3.8,52,0.00,0.00,0.00,0.00
3397:0.65,0.06,6.32,-1.42,1.36,7.39,431.58,0.00,26.31,3.7,47,0.00,0.00,0.00,0.00
3448:0.68,0.49,6.60,1.60,6.55,6.10,431.65,0.00,26.30,3.8,42,0.00,0.00,0.00,0.00
3498:0.99,0.42,6.78,7.06,3.51,1.04,431.62,0.00,26.30,3.9,41,0.00,-6.30,0.00,0.00
3549:1.01,-0.88,6.85,14.84,-52.38,-4.94,431.86,0.00,26.29,3.7,41,0.00,-6.92,0.00,0.00
3600:0.77,-2.76,6.63,-5.27,-16.25,-4.52,431.88,0.00,26.29,3.7,41,0.00,-6.19,0.00,0.00
3650:-0.13,-2.82,6.65,1.37,12.16,3.36,431.88,0.00,26.29,3.7,41,0.00,0.00,0.00,0.00
3701:0.68,-1.47,6.73,23.11,24.22,0.25,431.90,0.00,26.29,3.6,41,0.00,0.00,0.00,0.00
3751:1.16,-0.60,6.80,-11.43,16.01,-1.28,431.99,0.00,26.29,3.8,41,0.00,0.00,0.00,0.00
3802:0.68,-0.66,6.70,-13.04,-13.89,-2.87,432.03,0.00,26.29,3.8,41,0.00,0.00,0.00,0.00
